,loan_amnt,term,int_rate,installment,sub_grade,emp_length,home_ownership,annual_inc,purpose,addr_state,dti,delinq_2yrs,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,acc_now_delinq,delinq_amnt,collections_12_mths_ex_med,application_type,credit_hist_years,test_prediction,cagr
1308058,2500.0,0,19.99,92.9,5,10,0,54000.0,9,20,13.98,4.0,669.0,1.0,9.0,1.0,1820.0,44.4,30.0,0.0,0.0,0.0,0,15.3,0.050716898673860665,-0.059375697656540376
1293112,33150.0,0,18.25,1202.62,2,10,0,84947.0,2,30,18.96,0.0,694.0,0.0,11.0,0.0,20595.0,83.0,31.0,0.0,0.0,0.0,0,21.3,0.05179394857960737,0.05410818769894199
1201527,5000.0,0,23.43,194.68,10,5,4,45000.0,1,26,15.52,0.0,669.0,1.0,4.0,0.0,5566.0,50.6,4.0,0.0,0.0,0.0,0,6.8,0.0492525516257064,0.12143976471748914
1851156,20000.0,0,18.49,727.98,1,10,0,101500.0,2,9,11.33,0.0,669.0,1.0,15.0,0.0,23638.0,93.4,26.0,0.0,0.0,0.0,0,14.1,0.050778992650123034,0.04431224728549199
1158847,24000.0,0,15.61,839.16,0,2,4,85000.0,2,18,10.88,0.0,699.0,1.0,10.0,0.0,21005.0,76.9,13.0,0.0,0.0,0.0,0,6.3,0.047507559296583186,-0.17687027076845496
1270214,3000.0,0,22.15,114.81,9,6,4,53000.0,9,32,17.14,0.0,699.0,1.0,15.0,0.0,8321.0,45.7,25.0,0.0,0.0,0.0,0,30.0,0.05420538367019104,0.11265967590482552
1886641,35000.0,1,21.0,946.87,6,10,0,200000.0,2,38,16.73,0.0,714.0,3.0,11.0,0.0,15175.0,82.9,31.0,0.0,0.0,0.0,0,19.0,0.0463420258099494,0.10172784858961204
1843159,35000.0,0,17.77,1261.3,0,9,0,139000.0,4,29,9.19,0.0,709.0,2.0,11.0,0.0,26486.0,59.4,30.0,0.0,0.0,0.0,0,14.1,0.04960836894708991,0.0888578462642553
1770073,1600.0,0,19.2,58.82,2,10,4,70000.0,7,41,10.66,0.0,669.0,0.0,7.0,0.0,10383.0,76.9,31.0,0.0,0.0,0.0,0,25.8,0.05442629903585754,0.020249027417888144
1779107,35000.0,0,22.4,1343.92,7,10,4,87000.0,2,32,8.37,0.0,684.0,0.0,9.0,0.0,26421.0,80.3,16.0,0.0,0.0,0.0,0,13.5,0.04561257528279082,-0.042657814482562895
1844594,4000.0,0,19.72,148.09,4,1,4,96000.0,6,32,8.24,0.0,664.0,2.0,7.0,0.0,3287.0,40.1,9.0,0.0,0.0,0.0,0,4.3,0.04860102050833202,0.09473934428117237
1789933,3000.0,0,18.55,109.29,1,10,4,46300.0,9,32,9.28,0.0,709.0,0.0,9.0,1.0,2478.0,36.4,12.0,0.0,0.0,0.0,0,24.9,0.05518538857322293,0.09458149861906584
1341727,9450.0,0,19.22,347.46,3,8,0,90000.0,2,31,3.69,0.0,674.0,1.0,9.0,0.0,7132.0,61.5,17.0,0.0,0.0,0.0,0,19.1,0.049373108238966734,0.09796135277757803
1904236,18000.0,0,17.77,648.67,0,10,0,45000.0,1,23,19.36,1.0,674.0,1.0,11.0,0.0,21359.0,73.9,21.0,0.0,0.0,0.0,0,20.2,0.05657557588289895,0.04807828563756122
1296644,35000.0,0,18.25,1269.73,2,10,4,118000.0,2,0,20.8,0.0,709.0,0.0,10.0,0.0,28659.0,89.0,18.0,0.0,0.0,0.0,0,15.3,0.04599363918076973,0.093070696255229
1805871,4200.0,0,19.52,155.07,3,10,0,110700.0,9,4,11.57,0.0,689.0,1.0,11.0,0.0,22338.0,84.6,21.0,0.0,0.0,0.0,0,32.0,0.04892177855694407,0.09946978142906593
1874545,2800.0,0,19.05,102.71,3,7,0,40000.0,9,14,26.19,1.0,669.0,0.0,11.0,0.0,7429.0,70.1,42.0,0.0,0.0,0.0,0,14.3,0.04748576643565698,0.09710446837358422
1848635,20000.0,0,21.0,753.51,6,10,4,127500.0,9,33,14.66,2.0,694.0,1.0,11.0,0.0,9577.0,39.9,34.0,0.0,0.0,0.0,0,21.8,0.04993628324900876,0.01686959885323236
1892744,24000.0,1,21.0,649.29,6,10,0,140000.0,1,19,14.19,0.0,689.0,0.0,10.0,0.0,44206.0,89.8,32.0,0.0,0.0,0.0,0,20.1,0.04572993189361089,0.10172589968582058
1294704,2800.0,0,19.47,103.31,4,10,0,52000.0,7,33,19.82,0.0,669.0,0.0,10.0,0.0,15890.0,88.8,18.0,0.0,0.0,0.0,0,11.3,0.05312898267824621,0.04005291714400494
1842062,32000.0,0,17.77,1153.19,0,4,0,181000.0,0,23,13.12,1.0,669.0,1.0,14.0,0.0,14344.0,85.9,39.0,0.0,0.0,0.0,0,22.3,0.04560627867133154,0.09064675968928904
1882214,5175.0,0,18.49,188.37,1,6,0,35000.0,2,22,27.7,1.0,664.0,1.0,9.0,0.0,7740.0,81.5,16.0,0.0,0.0,0.0,0,15.1,0.05652805363216325,0.0640687784543037
1786509,16800.0,0,17.76,605.34,0,10,0,120000.0,2,4,11.53,1.0,679.0,1.0,15.0,0.0,14010.0,69.0,27.0,0.0,0.0,1.0,0,23.4,0.04641451591656553,0.08263208096575503
1761792,4200.0,0,21.7,159.75,6,10,4,83000.0,7,10,27.85,1.0,664.0,1.0,8.0,0.0,29343.0,89.7,25.0,0.0,0.0,0.0,0,13.8,0.05663590078692771,-0.13178753380419572
1341561,21725.0,0,18.25,788.14,2,10,0,69000.0,2,32,23.77,0.0,669.0,1.0,11.0,0.0,18003.0,84.9,27.0,0.0,0.0,0.0,0,19.3,0.04588998559846568,0.09307063007805484
1756738,4000.0,0,19.97,148.6,4,1,4,35000.0,2,31,18.28,0.0,679.0,1.0,6.0,0.0,7194.0,93.4,20.0,0.0,0.0,0.0,0,15.3,0.046737988765212186,-0.2957453008145422
1897711,12000.0,0,18.49,436.79,1,10,4,98000.0,1,9,16.43,0.0,674.0,1.0,8.0,0.0,18699.0,90.8,16.0,0.0,0.0,0.0,0,12.8,0.06330240825854255,-0.4169994642046557
1838141,1500.0,0,21.0,56.52,6,1,4,41600.0,9,33,14.34,0.0,709.0,1.0,9.0,0.0,4142.0,69.0,13.0,0.0,0.0,0.0,0,7.8,0.051215170171933166,0.018414462330270887
1262387,3500.0,0,23.43,136.27,10,8,0,48000.0,9,18,18.28,1.0,699.0,0.0,5.0,0.0,15598.0,87.1,6.0,0.0,0.0,0.0,0,13.1,0.047441104688121766,0.11912283805993053
1917660,35000.0,0,19.72,1295.74,4,3,0,190000.0,2,29,11.53,1.0,684.0,0.0,12.0,0.0,49715.0,76.2,26.0,0.0,0.0,0.0,0,15.6,0.05338805334221768,0.1004840057144043
1827135,4500.0,0,23.5,175.37,10,10,0,84000.0,4,32,23.49,0.0,689.0,1.0,12.0,0.0,20122.0,71.6,34.0,0.0,0.0,0.0,0,19.9,0.05376507229649787,0.10801854121480337
1244337,15100.0,0,17.57,542.65,3,1,0,114000.0,11,32,8.08,0.0,669.0,1.0,8.0,1.0,5580.0,47.3,44.0,0.0,0.0,0.0,0,15.3,0.047791590703088006,0.08963641829592639
1792001,3975.0,0,20.2,148.14,4,2,4,45000.0,9,14,4.27,0.0,684.0,0.0,7.0,0.0,2603.0,78.9,14.0,0.0,0.0,0.0,0,13.8,0.052949869683872185,0.1028931840304983
1283659,22675.0,0,19.99,842.57,5,10,0,80000.0,2,18,23.37,1.0,669.0,1.0,12.0,0.0,14307.0,95.4,34.0,0.0,0.0,0.0,0,24.5,0.048359767245599435,-0.14196986868914666
1249734,4000.0,0,19.52,147.68,6,10,0,68000.0,4,33,20.54,0.0,674.0,0.0,6.0,1.0,14734.0,91.5,10.0,0.0,0.0,0.0,0,31.8,0.05514239477390179,0.0787319364904604
1819280,28000.0,0,19.52,1033.75,3,4,0,145000.0,2,9,10.73,0.0,704.0,1.0,16.0,0.0,20259.0,61.8,39.0,0.0,0.0,0.0,0,14.2,0.0456230414758955,0.054262198550754766
1209482,4000.0,0,20.2,149.07,7,10,4,35000.0,6,32,16.77,0.0,689.0,0.0,4.0,0.0,6614.0,79.7,8.0,0.0,0.0,0.0,0,8.5,0.057676565021175685,0.08288849161837653
1342193,30225.0,0,19.97,1122.81,4,10,0,80000.0,2,22,9.42,0.0,669.0,1.0,10.0,0.0,13159.0,87.0,27.0,0.0,0.0,0.0,0,21.0,0.04663249929375835,0.04250934112518179
1324196,1500.0,0,23.43,58.41,10,10,0,97000.0,9,5,22.73,3.0,674.0,2.0,12.0,0.0,12793.0,60.3,32.0,0.0,0.0,0.0,0,11.7,0.048638616579914994,0.018789199356506137
1751201,3000.0,0,19.97,111.45,4,10,0,110000.0,9,41,11.24,0.0,674.0,2.0,10.0,0.0,12349.0,80.2,22.0,0.0,0.0,0.0,0,19.6,0.051067265392273735,0.10173749290311472
1207879,2500.0,0,24.5,98.74,12,10,3,77000.0,10,32,14.14,0.0,679.0,4.0,13.0,0.0,22809.0,73.6,37.0,0.0,0.0,0.0,0,25.2,0.0529724560339113,-0.03122200150293308
1917945,24000.0,0,17.77,864.9,0,10,0,106000.0,2,23,26.18,0.0,689.0,1.0,15.0,0.0,27492.0,89.3,30.0,0.0,0.0,0.0,0,13.8,0.05081817972941527,0.060323985534816986
1180058,35000.0,0,16.29,1235.52,1,4,4,145000.0,1,20,16.76,0.0,709.0,0.0,10.0,0.0,36113.0,77.8,36.0,0.0,0.0,0.0,0,16.9,0.04872491471216705,-0.10155329655300603
1292308,5075.0,0,18.92,185.83,3,0,0,82000.0,1,8,2.53,1.0,664.0,1.0,3.0,0.0,5078.0,87.6,8.0,0.0,0.0,0.0,0,15.8,0.0461240415726615,0.08781368607352323
1174754,35000.0,0,18.24,1269.56,4,6,0,210000.0,1,29,10.84,0.0,664.0,1.0,17.0,0.0,28171.0,84.9,29.0,0.0,0.0,0.0,0,17.2,0.04614713990092157,0.0927368415927836
1252952,5000.0,0,20.2,186.33,7,10,0,48000.0,9,41,23.55,1.0,669.0,0.0,11.0,0.0,11783.0,92.1,23.0,0.0,0.0,0.0,0,20.3,0.04909257719948827,0.04833902168045578
1790615,1200.0,0,19.2,44.11,2,9,4,52000.0,12,4,12.85,0.0,714.0,0.0,5.0,0.0,17070.0,90.8,10.0,0.0,0.0,0.0,0,20.1,0.0465053871317465,0.09785982635695943
1618158,35000.0,0,18.25,1269.73,4,5,0,130000.0,2,14,13.74,0.0,689.0,2.0,11.0,0.0,25297.0,62.5,21.0,0.0,0.0,0.0,0,11.7,0.04517743187825144,0.0930706957817582
1910931,34000.0,0,18.49,1237.56,1,10,0,112000.0,2,14,13.93,0.0,704.0,0.0,11.0,0.0,98748.0,82.6,26.0,0.0,0.0,0.0,0,15.4,0.058119186049732735,0.0936960761554284
1911350,15000.0,0,18.49,545.99,1,10,4,92000.0,2,4,18.44,0.0,674.0,0.0,18.0,0.0,31639.0,85.5,36.0,0.0,0.0,0.0,0,27.1,0.04704394371071738,0.09428032070677128
1352206,35000.0,0,18.25,1269.73,2,8,4,119000.0,2,4,17.05,0.0,684.0,2.0,12.0,0.0,27759.0,69.4,31.0,0.0,0.0,0.0,0,14.4,0.049065213751415364,0.09351026849378674
1782343,20000.0,0,19.2,735.15,2,10,0,109600.0,1,41,10.78,1.0,679.0,0.0,12.0,0.0,19031.0,91.9,30.0,0.0,0.0,0.0,0,19.4,0.058121528981951075,0.06707062607629455
1784982,8000.0,0,17.76,288.26,0,3,4,75550.0,1,9,9.64,0.0,669.0,1.0,7.0,0.0,7140.0,62.6,12.0,0.0,0.0,0.0,0,11.8,0.04740221352011136,0.0905952496877791
1832560,3000.0,0,19.72,111.07,4,3,4,45000.0,9,31,13.65,0.0,709.0,1.0,5.0,0.0,4310.0,49.0,7.0,0.0,0.0,0.0,0,5.8,0.04956441647737987,-0.3467955735837339
1349518,2000.0,0,21.48,75.85,6,10,0,189000.0,4,32,13.12,1.0,664.0,0.0,15.0,0.0,20921.0,86.5,21.0,0.0,0.0,0.0,0,21.9,0.065111423280588,0.04243880516605203
1274450,5000.0,0,16.99,178.24,2,2,4,35000.0,2,9,4.7,0.0,674.0,0.0,7.0,0.0,4587.0,47.8,11.0,0.0,0.0,0.0,0,5.9,0.051447487580447884,0.086703958263459
1888377,10000.0,0,17.77,360.38,0,10,0,96000.0,2,32,22.35,1.0,669.0,2.0,14.0,0.0,10379.0,81.7,33.0,0.0,0.0,0.0,0,18.5,0.05494976564949049,0.08892776751987208
1785257,35000.0,1,23.4,994.73,9,10,0,87087.0,1,4,15.76,0.0,714.0,1.0,11.0,0.0,30695.0,85.5,23.0,0.0,0.0,0.0,0,16.7,0.0486539483154331,0.11302958403296047
1349726,10000.0,0,18.25,362.78,2,5,0,140000.0,9,26,4.44,0.0,669.0,0.0,5.0,0.0,3469.0,80.7,26.0,0.0,0.0,0.0,0,25.9,0.05320708404190396,0.06612069498527529
1788461,35000.0,1,21.7,960.71,6,10,0,96000.0,1,28,19.36,0.0,714.0,1.0,9.0,0.0,37419.0,93.8,22.0,0.0,0.0,0.0,0,15.8,0.049362845369473586,0.0743122503791167
1247793,5000.0,0,22.15,191.35,9,2,4,45000.0,11,10,3.33,0.0,674.0,1.0,4.0,0.0,3521.0,81.9,4.0,0.0,0.0,0.0,0,3.3,0.05621855955188886,-0.543447320378923
1226515,1900.0,0,22.15,72.71,9,10,0,100000.0,1,36,8.65,0.0,674.0,0.0,8.0,1.0,3998.0,57.9,13.0,0.0,0.0,0.0,0,25.3,0.053167864107588385,0.0651632694820019
1814881,10000.0,0,19.52,369.2,3,10,4,56508.0,2,14,6.2,0.0,664.0,0.0,8.0,1.0,8991.0,82.5,19.0,0.0,0.0,0.0,0,21.3,0.04794408008510972,0.02058865281423139
1829782,8000.0,0,18.25,290.23,1,7,4,35639.76,1,29,8.69,0.0,689.0,1.0,6.0,0.0,8385.0,65.5,6.0,0.0,0.0,0.0,0,6.1,0.04642975510120804,0.09306829797021376
1800709,1800.0,0,20.31,67.18,4,10,3,42000.0,2,32,26.74,1.0,664.0,0.0,11.0,0.0,6877.0,67.4,21.0,0.0,0.0,0.0,0,14.9,0.04878094797736904,0.007280203352254766
1328876,16800.0,0,22.45,645.52,9,10,4,93000.0,8,38,8.26,0.0,674.0,2.0,12.0,1.0,6265.0,41.8,32.0,0.0,0.0,0.0,0,23.8,0.045261605509626886,0.0439361819257833
1910861,19000.0,0,20.49,710.87,5,5,0,97936.0,2,20,8.37,0.0,664.0,0.0,9.0,0.0,15756.0,78.8,32.0,0.0,0.0,0.0,0,18.8,0.05098682768685223,0.10435943537709802
1295860,6000.0,0,18.92,219.7,3,10,0,99000.0,2,20,10.64,3.0,674.0,1.0,12.0,0.0,13837.0,91.6,31.0,0.0,0.0,0.0,0,25.4,0.0584495186981845,0.09601970011659122
1901671,5000.0,0,18.49,182.0,1,6,4,86000.0,2,14,7.12,0.0,674.0,0.0,5.0,0.0,4994.0,97.9,11.0,0.0,0.0,0.0,0,16.3,0.049748686037962855,0.09427800886267136
1908606,10000.0,0,17.77,360.38,0,10,4,75000.0,2,22,6.64,0.0,664.0,2.0,7.0,0.0,12060.0,61.8,16.0,0.0,0.0,0.0,0,11.0,0.0488862958887064,0.09064423105177256
1829805,3550.0,0,21.6,134.85,7,10,4,35000.0,9,32,26.78,0.0,674.0,1.0,8.0,0.0,7854.0,83.6,15.0,0.0,0.0,0.0,0,12.6,0.05103321722623522,-0.292989858613245
1795915,15000.0,0,18.55,546.44,1,10,4,52000.0,2,32,10.96,0.0,679.0,0.0,7.0,0.0,13824.0,70.9,10.0,0.0,0.0,0.0,0,12.6,0.04969281883872582,-0.3599978298684696
1310973,3000.0,0,24.5,118.49,12,10,0,67356.0,4,26,7.8,1.0,674.0,1.0,13.0,1.0,22030.0,88.5,26.0,0.0,0.0,0.0,0,38.2,0.05643294201222674,0.12521647496944774
1793771,10000.0,0,18.55,364.29,1,6,4,67070.0,1,32,5.35,0.0,684.0,0.0,8.0,0.0,9378.0,90.2,11.0,0.0,0.0,0.0,0,12.8,0.04814433350876399,0.09458474984732557
1767471,2000.0,0,23.4,77.84,9,1,4,70000.0,9,4,7.41,1.0,704.0,0.0,8.0,0.0,3817.0,65.8,10.0,0.0,0.0,0.0,0,24.3,0.0523659170013103,0.11988615548167658
1879641,2000.0,0,19.72,74.05,4,10,0,26000.0,9,22,22.48,0.0,669.0,1.0,9.0,0.0,8758.0,90.3,16.0,0.0,0.0,0.0,0,16.1,0.053950557901457065,0.005507712686345201
1199141,2200.0,0,17.57,79.07,3,7,0,90000.0,9,18,29.83,0.0,679.0,1.0,11.0,0.0,5139.0,85.6,20.0,0.0,0.0,0.0,0,17.4,0.04595339109224677,0.0488174689571752
1904348,30125.0,0,20.49,1127.09,5,3,0,105000.0,1,14,19.92,0.0,679.0,0.0,18.0,0.0,39061.0,80.5,43.0,0.0,0.0,0.0,0,16.7,0.05114081078731742,0.10436099868352412
1772183,10000.0,0,19.2,367.58,2,8,0,56860.0,2,38,17.31,1.0,679.0,0.0,8.0,0.0,8678.0,83.4,12.0,0.0,0.0,0.0,0,16.0,0.04993641384809045,0.0975211398248863
1776475,5000.0,0,21.0,188.38,5,6,0,60000.0,9,32,18.6,1.0,674.0,0.0,5.0,1.0,18557.0,67.2,9.0,0.0,0.0,0.0,0,24.0,0.047840723392600634,-0.294219297861953
1885706,35000.0,0,19.05,1283.85,3,5,0,120000.0,7,41,26.78,0.0,704.0,2.0,12.0,0.0,40687.0,75.1,44.0,0.0,0.0,0.0,0,15.8,0.056975714603349326,0.04175247059278764
1283785,3000.0,0,18.25,108.84,2,0,3,26000.0,2,4,20.82,0.0,684.0,0.0,8.0,0.0,7081.0,79.6,18.0,0.0,0.0,0.0,0,16.3,0.046420121302487335,-0.5829074576587416
1848299,35000.0,0,17.77,1261.3,0,6,4,250000.0,2,4,9.88,0.0,699.0,1.0,12.0,0.0,35795.0,67.0,31.0,0.0,0.0,0.0,0,16.1,0.04589958659147689,-0.08505540889711694
1334379,15675.0,0,18.25,568.66,2,1,0,150000.0,2,10,8.67,0.0,674.0,1.0,14.0,1.0,6143.0,79.8,22.0,0.0,0.0,0.0,0,15.6,0.04724186534987361,0.09092279208649524
1196381,3600.0,0,15.61,125.88,0,10,0,75000.0,2,33,9.7,2.0,669.0,0.0,4.0,0.0,698.0,69.8,17.0,0.0,0.0,0.0,0,19.9,0.046394376935312516,0.06003480762046998
1903793,15000.0,0,19.05,550.22,3,1,4,122500.0,2,32,15.25,1.0,664.0,0.0,15.0,0.0,13663.0,76.8,29.0,0.0,0.0,0.0,0,10.5,0.047886382390396234,0.09710717268242773
1856112,10000.0,0,17.77,360.38,0,5,4,60000.0,2,4,8.79,0.0,689.0,0.0,6.0,0.0,5886.0,63.3,12.0,0.0,0.0,0.0,0,6.3,0.048179722703002685,0.02446889848355438
1121554,10000.0,0,17.14,357.23,3,10,0,112987.0,2,0,14.45,0.0,684.0,1.0,9.0,0.0,9864.0,73.1,33.0,0.0,0.0,0.0,0,23.7,0.047974425706653036,0.06471231769183405
1813029,1500.0,0,23.5,58.46,10,1,4,48500.0,9,4,11.95,0.0,669.0,2.0,11.0,0.0,5575.0,69.7,32.0,0.0,0.0,0.0,0,8.3,0.04909820112358293,0.11954235908727262
1186775,1200.0,0,18.24,43.53,4,10,4,65000.0,8,9,15.27,1.0,664.0,1.0,6.0,0.0,6190.0,95.2,23.0,0.0,0.0,0.0,0,16.0,0.05296559490354673,0.09413576664627854
1809263,17625.0,0,21.6,669.47,7,10,0,180000.0,8,19,9.94,0.0,689.0,2.0,11.0,1.0,7851.0,79.3,40.0,0.0,0.0,0.0,0,13.3,0.04743794680876018,0.1099412870350307
1781517,3250.0,0,23.1,125.98,8,1,4,32000.0,8,9,7.58,0.0,664.0,1.0,19.0,1.0,3334.0,37.0,38.0,0.0,0.0,0.0,0,14.9,0.04523997992057263,0.11746462555417868
1316622,4000.0,0,18.92,146.47,3,2,4,38190.0,8,32,4.49,0.0,699.0,0.0,13.0,0.0,2257.0,35.3,17.0,0.0,0.0,0.0,0,8.5,0.05651574827221367,0.09449522545955792
1346346,5000.0,0,17.57,179.69,1,5,4,38000.0,2,36,17.75,0.0,664.0,1.0,15.0,0.0,5495.0,84.5,17.0,0.0,0.0,0.0,0,9.3,0.045868247231537526,0.08972077589109029
1817969,4200.0,0,19.52,155.07,3,10,4,100000.0,12,14,13.26,0.0,679.0,0.0,18.0,0.0,31838.0,89.9,29.0,0.0,0.0,0.0,0,20.3,0.05102282025443893,0.0441193050942652
1299795,2000.0,0,23.43,77.87,10,0,0,28400.0,9,33,18.68,0.0,684.0,1.0,8.0,0.0,4781.0,62.1,18.0,0.0,0.0,0.0,0,12.4,0.054169138904814985,0.04130844927165134
1874869,3625.0,0,18.75,132.43,2,9,0,30000.0,1,4,8.2,0.0,674.0,1.0,7.0,0.0,6015.0,84.7,13.0,0.0,0.0,0.0,0,13.0,0.04759032134653388,0.08487272486090003
1778748,16000.0,0,19.2,588.12,2,10,0,78000.0,2,45,12.66,0.0,674.0,3.0,12.0,0.0,24347.0,79.8,33.0,0.0,0.0,0.0,0,21.7,0.052244929986219525,-0.13451339929386608
1857346,5000.0,0,21.0,188.38,6,9,4,34000.0,12,4,17.33,0.0,664.0,0.0,3.0,0.0,6993.0,85.3,14.0,0.0,0.0,0.0,0,12.6,0.04650716228234771,0.10640941343843324
1786475,35000.0,1,17.76,884.21,0,10,0,120000.0,1,9,21.65,0.0,724.0,0.0,14.0,0.0,40100.0,72.3,40.0,0.0,0.0,0.0,0,17.8,0.04587529739893215,0.050577256043244034
1764273,4200.0,0,20.2,156.52,4,10,3,54000.0,4,36,16.89,1.0,674.0,1.0,13.0,0.0,18482.0,46.1,15.0,0.0,0.0,0.0,0,21.3,0.047355300373270716,0.05230348994303968
1893172,23325.0,0,17.77,840.57,0,2,4,90000.0,1,34,20.15,0.0,684.0,1.0,11.0,0.0,26550.0,84.8,22.0,0.0,0.0,0.0,0,12.8,0.04943629859867165,0.08961626554655623
