,loan_amnt,term,int_rate,installment,sub_grade,emp_title,emp_length,home_ownership,annual_inc,purpose,addr_state,dti,delinq_2yrs,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,acc_now_delinq,delinq_amnt,collections_12_mths_ex_med,application_type,credit_hist_years,prob_paid_back,loan_status,cagr
1132821,10175.0,0,17.14,363.48,3,37483,4,0,50000.0,9,9,9.46,1.0,714.0,0.0,13.0,0.0,3273.0,17.6,41.0,1.0,2530.0,0.0,0,23.8,0.9249392747879028,1,0.0819035042443168
1133167,35000.0,0,18.54,1274.84,5,7240,2,0,185000.0,4,44,19.13,0.0,714.0,2.0,19.0,0.0,144870.0,49.7,26.0,0.0,0.0,0.0,0,23.2,0.940379798412323,1,0.03106139101725125
1133190,1375.0,0,17.86,49.62,4,1842,2,4,26000.0,2,28,5.08,0.0,734.0,0.0,6.0,0.0,1643.0,12.3,6.0,0.0,0.0,0.0,0,3.8,0.9435825943946838,1,0.09045227432513236
1133501,5600.0,0,15.99,196.86,1,7240,8,0,80000.0,6,4,6.71,0.0,674.0,0.0,4.0,0.0,4970.0,52.3,7.0,0.0,0.0,0.0,0,4.9,0.9191871881484984,1,0.08139328607155583
1133769,7800.0,0,16.49,276.12,2,58731,8,3,62000.0,2,4,8.73,0.0,694.0,1.0,4.0,1.0,1221.0,34.9,21.0,0.0,0.0,0.0,0,24.4,0.9091579914093018,1,0.01628051496784888
1134964,4825.0,0,16.49,170.81,2,43907,10,0,62000.0,9,31,1.26,1.0,669.0,0.0,5.0,1.0,2195.0,78.4,9.0,0.0,0.0,0.0,0,13.4,0.9122912287712096,1,0.06904500447824002
1135122,1400.0,0,15.99,49.22,1,29826,2,4,20000.0,9,6,28.21,0.0,709.0,1.0,8.0,0.0,1372.0,85.7,8.0,0.0,0.0,0.0,0,8.2,0.9103830456733704,1,0.08137804732321753
1138657,8000.0,0,17.86,288.66,4,29994,10,3,250000.0,9,9,10.61,1.0,664.0,2.0,21.0,0.0,14208.0,59.4,78.0,0.0,0.0,0.0,0,23.2,0.9052903056144714,1,0.04081982016797903
1138822,3750.0,0,17.14,133.96,3,12586,2,0,70000.0,1,13,4.87,0.0,674.0,0.0,5.0,0.0,5997.0,99.9,17.0,0.0,0.0,0.0,0,15.5,0.9308782815933228,1,0.0877065643021886
1140144,8000.0,0,15.99,281.22,1,54,3,0,18000.0,2,46,29.87,2.0,699.0,0.0,11.0,1.0,3426.0,44.5,19.0,0.0,0.0,0.0,0,16.2,0.9079943299293518,1,0.07595193375449094
1140734,1050.0,0,24.99,41.75,13,8571,10,0,49900.0,2,21,38.84,0.0,664.0,0.0,12.0,0.0,6810.0,71.7,51.0,0.0,0.0,0.0,0,18.0,0.9200856685638428,1,0.1270779208292947
1142700,2000.0,0,20.99,75.34,8,47738,7,0,52000.0,11,13,12.99,0.0,674.0,1.0,8.0,0.0,6695.0,65.6,11.0,0.0,0.0,0.0,0,9.9,0.9162649512290956,0,-0.11899477817620666
1144069,4000.0,0,15.99,140.61,1,47770,2,4,56000.0,8,14,2.14,0.0,709.0,1.0,2.0,0.0,2920.0,48.7,6.0,0.0,0.0,0.0,0,3.1,0.9254029989242554,1,0.07705625847395425
1144667,2000.0,0,16.49,70.8,2,31238,1,0,92400.0,4,4,12.99,0.0,724.0,1.0,11.0,0.0,4256.0,24.9,14.0,0.0,0.0,0.0,0,6.8,0.9087834358215332,1,0.08326590488452856
1146553,1925.0,0,15.59,67.29,0,60964,7,0,62000.0,2,6,10.99,0.0,664.0,0.0,3.0,0.0,1261.0,78.8,11.0,0.0,0.0,0.0,0,22.1,0.9268422126770021,0,-0.6757585764971006
1146596,2600.0,0,15.99,91.4,1,50421,0,3,7452.0,2,21,31.56,0.0,709.0,1.0,6.0,1.0,1975.0,26.7,26.0,0.0,0.0,0.0,0,19.3,0.918685257434845,1,0.02896449655598698
1146708,4625.0,0,15.99,162.58,1,23969,10,3,75000.0,0,39,9.36,0.0,709.0,0.0,5.0,0.0,1746.0,67.2,5.0,0.0,0.0,0.0,0,28.6,0.9094957113265992,1,0.07069616549713986
1147409,5000.0,0,15.59,174.78,0,2204,10,0,65000.0,2,10,2.53,0.0,664.0,0.0,5.0,1.0,3214.0,68.4,19.0,0.0,0.0,0.0,0,13.4,0.9216933846473694,1,0.07936812142059435
1147995,1700.0,0,15.59,59.43,0,5911,2,3,40000.0,2,39,7.11,0.0,664.0,0.0,5.0,0.0,5977.0,85.4,9.0,0.0,0.0,0.0,0,7.5,0.9039353728294371,1,0.07961274354279091
1148085,4350.0,0,16.49,153.99,2,39294,10,0,72000.0,2,15,11.15,1.0,679.0,0.0,7.0,3.0,1306.0,72.6,17.0,0.0,0.0,0.0,0,22.2,0.917846143245697,1,0.059071025520730285
1149391,28000.0,0,17.57,1006.24,3,13263,10,0,85711.0,2,41,11.92,3.0,664.0,0.0,20.0,0.0,13402.0,68.7,82.0,0.0,0.0,0.0,0,33.5,0.908103048801422,1,0.08700080344961769
1151518,2000.0,0,16.29,70.61,1,43257,10,0,45000.0,2,44,15.71,0.0,704.0,0.0,5.0,0.0,12468.0,99.7,9.0,0.0,0.0,0.0,0,24.5,0.9210125207901,1,0.08289293187076008
1153169,5975.0,0,15.61,208.92,0,39207,4,0,80000.0,2,15,1.25,0.0,669.0,0.0,3.0,1.0,1493.0,63.0,10.0,0.0,0.0,0.0,0,10.3,0.9025439620018004,1,0.04603309687394086
1155179,4075.0,0,15.61,142.49,0,41525,1,4,145000.0,4,13,6.75,0.0,684.0,0.0,8.0,0.0,1463.0,91.4,25.0,0.0,0.0,0.0,0,26.6,0.9062072038650512,1,0.07164217067739309
1155182,2000.0,0,16.99,71.3,2,55402,4,0,30000.0,9,6,31.16,0.0,714.0,1.0,9.0,0.0,2530.0,45.2,20.0,0.0,0.0,0.0,0,18.3,0.903111696243286,1,0.08643120281603589
1157462,1000.0,0,15.61,34.97,0,35150,10,4,50000.0,2,13,11.19,0.0,674.0,1.0,5.0,0.0,5882.0,57.1,7.0,0.0,0.0,0.0,0,7.1,0.9545792937278748,1,0.07945698545072055
1159976,7000.0,0,17.57,251.56,3,38906,10,0,115000.0,4,3,7.88,0.0,664.0,2.0,5.0,1.0,4416.0,84.9,35.0,0.0,0.0,0.0,0,17.6,0.9053233861923218,1,0.06982316189472404
1160636,3000.0,0,18.24,108.82,4,87,2,4,21000.0,8,40,32.17,0.0,689.0,1.0,10.0,0.0,5346.0,47.3,15.0,0.0,0.0,0.0,0,17.2,0.9175704717636108,0,-0.2396573567187795
1160728,16500.0,0,18.24,598.51,4,34130,10,0,220000.0,2,36,18.99,0.0,674.0,2.0,20.0,0.0,273379.0,90.0,55.0,0.0,0.0,0.0,0,18.6,0.9463464617729188,1,0.08657372718909673
1163959,1400.0,0,16.99,49.91,2,47114,1,4,18000.0,1,20,20.4,0.0,669.0,1.0,8.0,0.0,4161.0,83.2,15.0,0.0,0.0,0.0,0,6.9,0.9026739001274108,1,0.08616547424479304
1166946,1200.0,0,15.61,41.96,0,15496,10,0,60000.0,7,28,6.24,0.0,664.0,0.0,6.0,0.0,17232.0,94.2,12.0,0.0,0.0,0.0,0,9.5,0.9023404717445374,1,0.003744296082146992
1166978,1200.0,0,15.61,41.96,0,39600,1,4,50000.0,9,19,11.69,0.0,714.0,0.0,13.0,0.0,15880.0,99.2,27.0,0.0,0.0,0.0,0,11.5,0.9032059311866759,1,0.026560515439395305
1169276,35000.0,0,18.24,1269.56,4,11593,1,0,400000.0,2,19,16.8,4.0,669.0,0.0,16.0,0.0,262927.0,94.9,47.0,3.0,2677.0,0.0,0,25.1,0.9250081777572632,1,0.09145535373125367
1169971,35000.0,0,17.57,1257.8,3,34130,10,3,343350.0,9,21,10.24,1.0,689.0,0.0,17.0,0.0,111346.0,60.0,24.0,0.0,0.0,0.0,0,33.5,0.934692919254303,1,0.05005628332950707
1170262,35000.0,0,17.57,1257.8,3,29039,9,0,170000.0,2,40,23.34,0.0,719.0,0.0,9.0,0.0,99403.0,98.1,19.0,0.0,0.0,0.0,0,22.2,0.9253808856010436,1,0.08895070880114209
1170339,35000.0,1,19.52,917.97,6,16018,10,0,600000.0,1,6,8.07,2.0,669.0,0.0,10.0,0.0,143743.0,94.0,21.0,0.0,0.0,0.0,0,14.3,0.9386328458786012,1,0.0916124681288264
1170550,2100.0,0,17.57,75.47,3,38387,10,0,73000.0,9,45,2.75,0.0,664.0,1.0,4.0,1.0,997.0,51.0,8.0,0.0,0.0,0.0,0,18.7,0.9613989591598512,0,0.035762910349492534
1171360,1450.0,0,15.61,50.7,0,34374,5,0,24000.0,12,21,4.8,0.0,674.0,0.0,11.0,0.0,3081.0,45.3,37.0,0.0,0.0,0.0,0,28.3,0.92477548122406,0,-0.24665504266881846
1171543,35000.0,0,17.57,1257.8,3,4282,2,0,425000.0,2,32,8.74,1.0,689.0,0.0,15.0,0.0,79318.0,92.2,24.0,0.0,0.0,0.0,0,24.4,0.939738929271698,1,0.08000677704451475
1175187,1500.0,0,16.29,52.96,1,2115,8,0,52567.0,9,4,7.53,1.0,664.0,1.0,7.0,1.0,97.0,1.5,18.0,0.0,0.0,0.0,0,14.5,0.9218343496322632,1,0.06223530507459851
1176550,13475.0,0,6.0,412.71,0,39032,7,0,75000.0,2,19,23.78,0.0,694.0,2.0,8.0,0.0,7867.0,48.0,14.0,0.0,0.0,0.0,0,11.8,0.9758588075637816,1,0.06954022753126354
1177765,5400.0,0,15.61,188.81,0,2013,8,0,260000.0,4,40,3.21,0.0,709.0,0.0,5.0,3.0,3585.0,41.7,14.0,0.0,0.0,0.0,0,21.6,0.9470857977867126,1,0.0028824243876404143
1179230,2650.0,0,17.57,95.24,3,29132,10,0,205000.0,4,20,10.55,1.0,674.0,2.0,10.0,1.0,2233.0,23.8,19.0,0.0,0.0,0.0,0,25.7,0.930131733417511,1,0.08962861435278624
1179411,2400.0,0,16.29,84.73,1,1366,10,0,130000.0,8,17,23.02,1.0,694.0,2.0,12.0,0.0,28090.0,99.3,27.0,0.0,0.0,0.0,0,21.5,0.9394069314002992,1,0.07981526065436828
1179495,8575.0,0,18.24,311.05,4,25889,1,4,50000.0,2,4,15.24,0.0,674.0,1.0,6.0,0.0,2703.0,84.5,6.0,0.0,0.0,0.0,0,3.2,0.9014754891395568,1,0.07956222484134101
1183009,1300.0,0,16.99,46.35,2,27142,6,4,60000.0,7,31,14.98,0.0,694.0,0.0,9.0,1.0,9532.0,29.0,12.0,0.0,0.0,0.0,0,19.5,0.9048812985420228,1,0.0866865743171652
1184342,35000.0,0,16.29,1235.52,1,36057,10,3,220000.0,2,4,34.06,0.0,694.0,2.0,16.0,0.0,345831.0,47.5,30.0,0.0,0.0,0.0,0,36.5,0.906976580619812,1,0.0848285525332726
1184847,3125.0,0,17.57,112.31,3,7764,10,0,38000.0,6,40,39.86,0.0,664.0,0.0,11.0,0.0,11423.0,81.0,27.0,0.0,0.0,0.0,0,12.3,0.9322123527526855,1,0.0896299146579227
1187133,4300.0,0,15.61,150.35,0,42161,2,4,81000.0,2,31,9.59,0.0,689.0,0.0,6.0,0.0,25444.0,99.9,10.0,0.0,0.0,0.0,0,20.8,0.9225268959999084,1,0.04730381056079214
1189626,3200.0,0,16.99,114.08,2,28776,10,0,117500.0,0,19,13.03,1.0,699.0,2.0,6.0,0.0,17513.0,94.7,20.0,0.0,0.0,0.0,0,14.3,0.9501430988311768,1,0.04222238791865696
1190519,1000.0,0,15.61,34.97,0,47697,7,3,58000.0,8,39,16.66,0.0,684.0,1.0,6.0,0.0,3324.0,39.1,9.0,0.0,0.0,0.0,0,6.9,0.9173994660377502,1,0.06626232504408991
1193586,35000.0,0,15.61,1223.77,0,60217,10,0,450000.0,2,9,4.24,0.0,714.0,1.0,15.0,0.0,128112.0,40.2,44.0,0.0,0.0,0.0,0,23.8,0.949026107788086,1,0.04324990701271658
1193641,2600.0,0,15.61,90.91,0,43257,1,4,19000.0,12,40,27.29,0.0,689.0,0.0,15.0,0.0,13505.0,78.1,23.0,0.0,0.0,0.0,0,7.8,0.912666916847229,1,0.07971840255096674
1194381,4800.0,0,15.61,167.84,0,38886,1,0,96000.0,9,40,18.85,0.0,744.0,0.0,7.0,0.0,6041.0,66.4,20.0,0.0,0.0,0.0,0,15.8,0.9138510227203368,0,-0.3273730640731103
1197579,6000.0,0,15.61,209.79,0,14942,10,0,120000.0,2,42,20.04,0.0,689.0,0.0,13.0,0.0,48256.0,99.1,23.0,0.0,0.0,0.0,0,24.9,0.901103138923645,1,0.06804974678909681
1198164,1600.0,0,22.15,61.23,9,28776,10,0,80000.0,9,6,22.04,4.0,684.0,0.0,2.0,0.0,1139.0,94.9,14.0,0.0,0.0,0.0,0,24.5,0.9665530920028688,1,0.11212668801282932
1199413,9600.0,0,17.57,345.0,3,36864,10,0,131000.0,0,28,16.54,0.0,674.0,1.0,6.0,0.0,25809.0,100.0,21.0,0.0,0.0,0.0,0,17.4,0.9414188861846924,1,0.07103400109561919
1200049,1500.0,0,18.24,54.41,4,55925,1,4,65000.0,7,5,8.11,1.0,669.0,1.0,5.0,1.0,531.0,26.5,24.0,0.0,0.0,0.0,0,23.7,0.9251587986946106,1,0.03670513786756713
1200135,2000.0,0,18.24,72.55,4,56821,6,0,60000.0,9,31,2.8,0.0,714.0,0.0,5.0,0.0,4729.0,41.8,7.0,0.0,0.0,0.0,0,14.8,0.9127628207206726,0,-0.3169692661102098
1201845,3600.0,0,17.57,129.38,3,35014,1,4,21000.0,9,6,1.43,0.0,734.0,0.0,4.0,0.0,1638.0,24.4,23.0,0.0,0.0,0.0,0,4.8,0.9081075191497804,1,0.0842494871045627
1202255,1000.0,0,23.43,38.94,10,13577,10,4,30160.0,9,4,15.64,0.0,669.0,0.0,7.0,0.0,4343.0,47.7,9.0,0.0,0.0,0.0,0,4.2,0.921346127986908,1,0.11909923104108723
1202296,2000.0,0,16.99,71.3,2,51116,3,4,120000.0,7,31,11.17,0.0,664.0,1.0,8.0,2.0,2422.0,33.2,16.0,0.0,0.0,0.0,0,8.3,0.9109457731246948,0,-0.3148005269507195
1202705,2500.0,0,16.99,89.12,2,15067,3,0,60000.0,1,45,27.5,0.0,694.0,0.0,10.0,0.0,48363.0,75.0,37.0,0.0,0.0,0.0,0,14.2,0.905716836452484,1,0.08670395826150568
1204426,2500.0,0,17.57,89.85,3,7617,7,0,270000.0,9,28,7.79,1.0,674.0,0.0,10.0,0.0,40892.0,90.1,19.0,0.0,0.0,0.0,0,13.1,0.918605089187622,1,0.08962745336227163
1204796,15000.0,0,18.24,544.1,4,7240,8,3,146000.0,2,5,2.8,1.0,669.0,0.0,6.0,0.0,10342.0,54.7,16.0,0.0,0.0,0.0,0,11.9,0.9015610218048096,1,0.0911741881107082
1206045,3500.0,0,16.99,124.77,2,1716,3,4,18000.0,2,4,25.53,0.0,689.0,0.0,6.0,0.0,12754.0,57.7,6.0,0.0,0.0,0.0,0,5.3,0.9031606912612916,1,0.08670225912808394
1207718,2000.0,0,15.61,69.93,0,19116,6,3,40377.6,4,4,13.35,0.0,699.0,1.0,9.0,1.0,2711.0,27.4,16.0,0.0,0.0,0.0,0,11.0,0.9435150027275084,1,0.07898638624128651
1208853,5600.0,0,16.29,197.69,1,33437,6,0,98000.0,2,4,10.38,1.0,674.0,3.0,9.0,0.0,4471.0,42.6,52.0,0.0,0.0,0.0,0,17.2,0.9121970534324646,1,0.03633408347093425
1211967,8000.0,0,18.24,290.19,4,23939,1,4,175000.0,1,31,3.33,1.0,669.0,0.0,7.0,0.0,1666.0,5.0,9.0,1.0,1634.0,0.0,0,33.1,0.9130913615226746,1,0.029500732046633393
1213622,8000.0,0,16.29,282.41,1,24084,5,0,147000.0,2,9,13.28,4.0,674.0,2.0,15.0,0.0,8721.0,58.5,52.0,0.0,48374.0,0.0,0,21.8,0.9521301984786988,1,0.08316080673569859
1217261,6000.0,0,15.61,209.79,0,32891,10,3,65000.0,4,31,2.58,2.0,679.0,2.0,12.0,3.0,2713.0,31.2,40.0,0.0,0.0,0.0,0,25.8,0.9273104667663574,1,0.039249335031300785
1218269,4500.0,0,15.61,157.35,0,51597,10,0,135000.0,7,31,13.78,1.0,719.0,1.0,9.0,0.0,0.0,0.0,33.0,1.0,112.0,0.0,0,24.8,0.9422265291213988,1,0.004317443962558842
1218359,3000.0,0,23.43,116.81,10,24087,6,0,56000.0,12,5,4.48,0.0,664.0,1.0,6.0,1.0,7058.0,69.2,17.0,0.0,0.0,0.0,0,20.3,0.9122325778007508,1,0.11906684309429715
1220025,5275.0,0,16.99,188.05,2,41417,4,0,180000.0,10,11,7.25,0.0,689.0,5.0,10.0,1.0,5507.0,54.0,32.0,0.0,0.0,0.0,0,21.8,0.9247732758522034,1,0.04680165778234824
1220653,20000.0,0,18.99,733.02,5,43107,10,0,130000.0,12,4,5.36,0.0,674.0,0.0,9.0,0.0,156951.0,27.7,21.0,0.0,0.0,0.0,0,13.8,0.918083429336548,0,0.08703314615769586
1221861,7200.0,0,15.61,251.75,0,17224,6,0,52000.0,2,4,21.23,1.0,689.0,1.0,15.0,0.0,206617.0,48.1,48.0,0.0,0.0,0.0,0,35.4,0.9124111533164978,1,0.07971869413337608
1222680,3000.0,0,17.57,107.82,3,33738,7,0,73000.0,2,9,9.32,0.0,689.0,1.0,5.0,2.0,242.0,12.1,15.0,0.0,0.0,0.0,0,23.8,0.9475024938583374,1,0.0664020611014402
1222977,3500.0,0,16.99,124.77,2,11803,2,4,47000.0,2,31,2.6,4.0,669.0,0.0,7.0,0.0,523.0,22.7,15.0,0.0,0.0,0.0,0,6.7,0.9192072153091432,1,0.0656517193424373
1223333,35000.0,0,16.99,1247.68,2,29072,5,0,190000.0,4,9,27.53,1.0,684.0,1.0,24.0,0.0,199635.0,76.0,44.0,0.0,0.0,0.0,0,33.9,0.9010202288627625,1,0.08670395840984857
1224874,1000.0,0,18.24,36.28,4,29916,2,3,60000.0,7,40,1.48,0.0,734.0,1.0,10.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0,18.3,0.9139826893806458,1,0.06719385832033486
1225694,1500.0,0,18.99,54.98,5,17671,10,0,37000.0,7,10,27.47,0.0,694.0,0.0,10.0,4.0,6231.0,73.3,18.0,0.0,0.0,0.0,0,10.7,0.9117760658264159,1,0.07964589828766755
1226275,13700.0,1,16.99,340.41,2,42649,10,0,60000.0,2,10,13.22,0.0,699.0,1.0,4.0,1.0,0.0,0.0,27.0,0.0,0.0,0.0,0,21.8,0.9232973456382751,1,0.03408263081710916
1228687,1500.0,0,22.15,57.41,9,13774,8,0,32726.0,9,4,20.21,0.0,684.0,0.0,6.0,0.0,3097.0,54.3,6.0,0.0,0.0,0.0,0,6.4,0.9161313772201538,1,0.11268393591948955
1229156,4350.0,0,17.57,156.33,3,16436,9,0,165000.0,1,31,21.9,0.0,674.0,1.0,9.0,1.0,67086.0,86.0,29.0,0.0,0.0,0.0,0,18.5,0.9286929965019226,1,0.0540683683714116
1229392,1675.0,0,20.99,63.1,8,28444,7,0,47000.0,9,21,12.84,1.0,674.0,0.0,8.0,0.0,10566.0,65.6,13.0,0.0,0.0,0.0,0,10.8,0.9175648093223572,1,0.09758939239124187
1230460,5025.0,0,16.99,179.13,2,46274,2,0,13380.0,1,4,22.4,0.0,674.0,0.0,6.0,0.0,7916.0,59.1,6.0,0.0,0.0,0.0,0,11.9,0.913705050945282,1,0.08670466835688395
1230546,10500.0,1,6.0,191.48,0,17254,1,0,66702.0,2,16,14.29,0.0,704.0,1.0,9.0,0.0,12472.0,65.0,20.0,0.0,0.0,0.0,0,13.3,0.963817536830902,1,0.037666718588343466
1231403,11625.0,0,15.61,406.47,0,56065,10,0,70000.0,2,25,1.63,0.0,664.0,0.0,9.0,0.0,1157.0,12.9,32.0,0.0,0.0,0.0,0,14.8,0.9197573065757751,1,0.04525526013873882
1232668,2325.0,0,16.29,82.08,1,6717,10,0,26000.0,4,13,18.74,1.0,704.0,0.0,12.0,0.0,6429.0,44.6,36.0,0.0,0.0,0.0,0,21.2,0.908762276172638,1,0.08413667585176055
1233513,30375.0,0,15.61,1062.06,0,37147,7,0,140000.0,2,28,17.26,1.0,684.0,1.0,12.0,0.0,115203.0,89.3,35.0,0.0,0.0,0.0,0,25.0,0.905286192893982,1,0.054815971100710126
1233989,35000.0,0,18.24,1269.56,4,7617,10,0,350000.0,2,30,9.46,0.0,719.0,5.0,11.0,0.0,28001.0,56.8,29.0,0.0,0.0,0.0,0,20.0,0.938271701335907,1,0.057154040022229236
1234175,1000.0,0,16.99,35.65,2,39294,1,4,35000.0,12,15,19.72,0.0,719.0,1.0,12.0,0.0,2546.0,33.9,12.0,0.0,0.0,0.0,0,7.1,0.9734512567520142,1,0.08618221596726561
1235736,5375.0,0,16.99,191.61,2,26007,8,4,66800.0,9,4,1.44,0.0,679.0,1.0,4.0,6.0,2482.0,42.8,10.0,0.0,0.0,0.0,0,24.6,0.9185557961463928,1,0.047801407778127684
1240192,1500.0,0,20.99,56.51,8,3117,1,4,62000.0,9,3,5.65,3.0,664.0,0.0,10.0,1.0,4505.0,39.2,37.0,0.0,0.0,0.0,0,25.1,0.9044777750968932,1,0.04072557847938985
1240229,2400.0,0,16.29,84.73,1,23260,3,4,75000.0,12,4,11.41,1.0,674.0,0.0,7.0,0.0,7443.0,73.7,12.0,0.0,0.0,0.0,0,16.5,0.9122657179832458,1,0.0818806695826022
1240569,3600.0,0,18.24,130.59,4,39658,2,0,56000.0,1,3,5.31,0.0,669.0,1.0,4.0,0.0,9806.0,87.6,7.0,0.0,0.0,0.0,0,5.9,0.9146745204925536,1,0.04516124109928876
1243284,2000.0,0,17.57,71.88,3,8431,1,4,14400.0,2,5,26.25,0.0,709.0,0.0,4.0,0.0,6273.0,85.9,6.0,0.0,0.0,0.0,0,13.0,0.9107227325439452,1,0.09317838197326099
1244758,20000.0,0,16.29,706.01,1,20264,1,0,105000.0,4,19,2.47,0.0,664.0,4.0,6.0,1.0,6071.0,71.4,30.0,0.0,0.0,0.0,0,31.6,0.9045953154563904,1,0.08197300829892451
1247286,1600.0,0,23.43,62.3,10,60043,10,0,30635.0,7,2,22.77,0.0,664.0,0.0,3.0,0.0,2127.0,62.6,14.0,0.0,0.0,0.0,0,18.9,0.912824809551239,1,0.03580732168940859
1248198,8000.0,0,18.99,293.21,5,2851,10,0,105000.0,2,19,6.1,2.0,679.0,2.0,14.0,0.0,12445.0,12.9,33.0,0.0,0.0,0.0,0,25.0,0.902723789215088,1,0.04922391631258849
1248492,14125.0,0,15.61,493.88,0,37483,4,4,103000.0,1,4,19.93,0.0,664.0,3.0,9.0,1.0,1160.0,22.3,34.0,0.0,0.0,0.0,0,18.3,0.912774920463562,1,0.03945438382090671
1249123,4350.0,0,16.29,153.56,1,38461,10,0,92000.0,4,39,3.59,8.0,679.0,2.0,9.0,1.0,513.0,28.0,23.0,0.0,0.0,0.0,0,23.0,0.9142292141914368,0,-0.17170798425256414
1249533,20000.0,0,15.61,699.3,0,38461,10,0,120000.0,2,13,11.06,0.0,699.0,0.0,14.0,0.0,29568.0,70.4,40.0,0.0,0.0,0.0,0,19.0,0.9061567783355712,1,0.07684237002043659
1249707,1500.0,0,22.15,57.41,9,30428,2,4,40000.0,2,13,3.81,0.0,694.0,1.0,4.0,0.0,2448.0,24.0,5.0,0.0,0.0,0.0,0,4.8,0.9074391722679138,1,0.1126839357958378
1250152,1000.0,0,15.61,34.97,0,44592,7,4,54000.0,9,40,20.82,0.0,694.0,1.0,9.0,0.0,12988.0,83.8,20.0,0.0,0.0,0.0,0,26.9,0.921548068523407,1,0.07909879438187573
1250405,6600.0,0,18.99,241.9,5,4282,7,4,265000.0,12,31,16.15,0.0,699.0,2.0,23.0,0.0,67935.0,84.3,43.0,0.0,0.0,0.0,0,26.8,0.9052091240882874,1,0.09534673390461168
1256698,5000.0,0,18.24,181.37,4,28776,8,0,40000.0,2,44,5.13,0.0,669.0,1.0,8.0,0.0,4067.0,41.5,8.0,0.0,0.0,0.0,0,3.2,0.9101693630218506,1,0.058073515212139215
