,loan_amnt,term,int_rate,installment,sub_grade,emp_length,home_ownership,annual_inc,purpose,addr_state,dti,delinq_2yrs,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,acc_now_delinq,delinq_amnt,collections_12_mths_ex_med,application_type,credit_hist_years,prediction,cagr
1280948,4000.0,0,19.47,147.58,4,10,3,52000.0,6,14,17.03,0.0,664.0,1.0,10.0,1.0,6198.0,82.6,20.0,0.0,0.0,0.0,0,9.2,0.025893568999999998,0.09922141758341807
1622615,3600.0,0,15.99,126.55,1,5,0,65592.0,9,48,19.52,0.0,664.0,0.0,10.0,0.0,7137.0,86.0,15.0,0.0,0.0,0.0,0,5.3,0.026616663,0.07895424278844887
1132578,5600.0,0,15.99,196.86,1,10,0,160000.0,4,16,7.96,0.0,669.0,1.0,7.0,1.0,1025.0,16.5,21.0,0.0,0.0,0.0,0,29.1,0.02567619,0.0783670559471139
1257503,5025.0,0,18.24,182.28,4,10,0,63000.0,1,3,12.91,1.0,664.0,0.0,5.0,0.0,19316.0,67.8,12.0,0.0,0.0,0.0,0,18.1,0.025877476,-0.13905940588198118
1223511,4500.0,0,16.29,158.86,1,10,4,86000.0,6,9,13.85,0.0,689.0,1.0,5.0,0.0,19984.0,87.3,19.0,0.0,0.0,0.0,0,23.2,0.025530367999999998,0.08315803646236207
1863499,2000.0,0,17.77,72.08,0,10,0,84000.0,5,9,12.46,1.0,674.0,1.0,11.0,1.0,6474.0,68.1,20.0,0.0,0.0,0.0,0,27.3,0.02843687,0.0906380066636121
1753308,5700.0,0,19.97,211.75,4,8,0,60000.0,9,6,3.34,0.0,684.0,0.0,17.0,0.0,4862.0,62.3,39.0,0.0,0.0,0.0,0,20.1,0.025340796000000002,0.0959237271461444
1165778,2100.0,0,16.29,74.14,1,1,0,40000.0,7,21,22.45,0.0,689.0,1.0,11.0,0.0,7649.0,73.5,25.0,0.0,0.0,0.0,0,16.5,0.02516815,0.08477366701727496
1636845,3500.0,0,14.84,121.06,0,10,0,96000.0,7,20,20.4,1.0,664.0,1.0,7.0,0.0,13537.0,75.6,31.0,0.0,0.0,0.0,0,12.3,0.027581692,-0.2338884806229503
1846781,5600.0,0,18.75,204.57,2,5,4,140000.0,2,4,14.85,1.0,684.0,1.0,13.0,0.0,30230.0,87.4,29.0,0.0,0.0,0.0,0,28.6,0.026257515,0.09559214687067996
1889732,6000.0,0,18.49,218.4,1,10,0,51640.15,1,26,19.82,2.0,684.0,0.0,10.0,0.0,14890.0,98.2,26.0,0.0,0.0,0.0,0,18.4,0.02532345,0.09427800907882422
1322101,7975.0,0,18.25,289.32,2,1,0,116000.0,12,22,16.27,2.0,664.0,0.0,6.0,1.0,2003.0,83.0,17.0,0.0,0.0,0.0,0,12.6,0.025091022,0.05267316697593216
1880233,4800.0,0,18.49,174.72,1,10,4,80000.0,9,4,11.27,1.0,694.0,0.0,5.0,0.0,12744.0,93.0,15.0,0.0,0.0,0.0,0,20.5,0.025988996,0.04801985716880775
1812936,2400.0,0,18.85,87.8,2,10,0,82000.0,12,10,11.52,0.0,704.0,0.0,8.0,0.0,11519.0,86.0,16.0,0.0,0.0,0.0,0,10.6,0.02807802,0.09105463300887884
1936010,3000.0,0,16.29,105.91,0,10,4,65000.0,2,45,17.35,0.0,669.0,0.0,8.0,0.0,25736.0,93.9,14.0,0.0,0.0,0.0,0,17.7,0.025410502999999997,-0.34390222225525113
1237716,4000.0,0,18.99,146.61,5,7,0,128700.0,12,4,12.42,1.0,664.0,1.0,11.0,1.0,9886.0,68.2,21.0,0.0,0.0,0.0,0,13.5,0.027750134,0.09679958401851384
1850052,1500.0,0,19.72,55.54,4,10,0,66000.0,7,26,26.27,0.0,669.0,1.0,15.0,0.0,22739.0,68.1,25.0,0.0,0.0,0.0,0,18.4,0.026940613999999998,0.0787873143437321
1885092,4000.0,0,19.05,146.73,3,10,0,46000.0,9,38,8.32,0.0,664.0,1.0,8.0,1.0,10381.0,48.7,19.0,0.0,0.0,0.0,0,17.3,0.025880754,0.05300428285214287
1774018,35000.0,0,18.55,1275.02,1,2,0,160000.0,1,43,17.81,0.0,669.0,1.0,14.0,0.0,75447.0,94.1,30.0,0.0,0.0,0.0,0,22.0,0.025023311,0.07021444858748183
1842431,18000.0,0,18.75,657.54,2,10,0,125000.0,2,6,15.37,3.0,664.0,1.0,11.0,0.0,85824.0,77.6,27.0,0.0,0.0,0.0,0,31.6,0.025045335,0.07822244812136447
1294694,3500.0,0,19.47,129.13,4,10,0,85540.0,2,14,10.87,0.0,704.0,1.0,8.0,0.0,19095.0,87.6,10.0,0.0,0.0,0.0,0,15.8,0.029099882,0.05228957247598931
1822920,1000.0,0,20.31,37.33,4,0,0,37000.0,9,21,6.1,1.0,669.0,1.0,6.0,1.0,6069.0,74.0,13.0,0.0,0.0,0.0,0,19.3,0.027058035,0.0928321824120426
1288893,3400.0,0,16.59,120.53,0,0,0,14916.0,1,40,18.95,0.0,674.0,0.0,8.0,1.0,9685.0,65.9,28.0,0.0,0.0,0.0,0,30.4,0.025446385,0.08467856998561007
1339135,6000.0,0,18.25,217.67,2,6,0,64000.0,4,45,19.03,1.0,679.0,1.0,12.0,0.0,7919.0,71.3,44.0,0.0,0.0,1.0,0,21.9,0.02612093,0.09306963044742143
1846121,3200.0,0,19.05,117.39,3,10,0,90000.0,9,43,14.21,4.0,689.0,1.0,10.0,0.0,10882.0,84.4,48.0,0.0,0.0,0.0,0,20.2,0.029772341,0.07961241522036477
1852138,5000.0,0,19.05,183.41,3,10,0,81400.0,9,20,16.32,1.0,699.0,0.0,19.0,0.0,24215.0,34.5,63.0,0.0,0.0,0.0,0,13.9,0.025091052000000003,0.09378525633092782
1795105,4000.0,0,18.55,145.72,1,3,0,68000.0,1,8,15.25,0.0,674.0,1.0,7.0,0.0,3147.0,95.4,26.0,0.0,0.0,0.0,0,13.8,0.027725697,0.09458149865413024
1823389,5000.0,0,17.56,179.67,0,10,0,120000.0,9,20,20.02,0.0,699.0,0.0,16.0,0.0,31983.0,80.4,39.0,0.0,0.0,0.0,0,20.1,0.027678162000000003,0.08958000630416096
1616652,1200.0,0,16.29,42.37,0,8,4,68736.0,9,45,7.16,1.0,664.0,1.0,5.0,0.0,12069.0,81.5,15.0,0.0,0.0,0.0,0,20.2,0.025581986,0.08314062295260173
1886229,4850.0,0,18.75,177.17,2,2,0,60000.0,1,4,11.66,0.0,684.0,1.0,7.0,0.0,2932.0,69.8,8.0,0.0,0.0,0.0,0,5.2,0.02520582,0.07374485287026378
1197956,2200.0,0,23.43,85.66,10,3,0,30000.0,4,3,16.28,0.0,704.0,0.0,8.0,0.0,11797.0,72.4,14.0,0.0,0.0,0.0,0,20.9,0.025879323,0.08891189719394865
1762041,4000.0,0,21.0,150.71,5,10,0,117661.0,2,10,9.7,0.0,679.0,1.0,7.0,0.0,15170.0,95.4,31.0,0.0,0.0,0.0,0,28.6,0.029495,0.02722115242312517
1627221,3000.0,0,15.62,104.91,0,7,0,61000.0,2,4,22.78,0.0,679.0,0.0,6.0,1.0,14154.0,95.0,20.0,0.0,0.0,0.0,0,9.3,0.025182337000000003,0.07535308875436343
1317256,4300.0,0,19.47,158.65,4,1,4,82000.0,9,34,13.19,0.0,669.0,1.0,7.0,0.0,8508.0,97.8,16.0,0.0,0.0,0.0,0,20.3,0.02693215,0.09696195475176396
1654162,4400.0,0,17.86,158.77,19,9,0,125000.0,2,16,25.77,1.0,664.0,0.0,18.0,1.0,68438.0,96.2,37.0,0.0,0.0,0.0,0,21.9,0.026153326,0.09109916389920912
1826850,3600.0,0,18.85,131.69,2,2,0,110000.0,7,41,13.2,0.0,724.0,2.0,15.0,1.0,9499.0,57.2,36.0,0.0,0.0,0.0,0,14.4,0.025112927,0.059140876367651314
1276473,3350.0,0,16.29,118.26,1,0,0,29460.0,2,24,3.5,0.0,669.0,1.0,5.0,0.0,4663.0,77.7,25.0,0.0,0.0,0.0,0,31.0,0.02590543,0.08224087450099438
1134964,4825.0,0,16.49,170.81,2,10,0,62000.0,9,32,1.26,1.0,669.0,0.0,5.0,1.0,2195.0,78.4,9.0,0.0,0.0,0.0,0,13.4,0.025045812,0.06904500447824002
1787961,2500.0,0,19.52,92.3,3,10,0,35000.0,9,36,22.9,0.0,669.0,0.0,6.0,0.0,10189.0,95.2,20.0,0.0,0.0,0.0,0,19.2,0.026527882000000003,0.010646340679801192
1930327,8000.0,0,17.27,286.3,0,2,0,133000.0,2,43,17.98,0.0,674.0,1.0,9.0,0.0,31962.0,92.4,21.0,0.0,0.0,0.0,0,25.9,0.025648712999999997,0.08811974188069205
1785667,6000.0,0,19.52,221.52,3,2,4,100000.0,1,4,12.82,0.0,679.0,1.0,16.0,0.0,10541.0,76.4,29.0,0.0,0.0,0.0,0,12.2,0.025069207000000003,0.09947467362988972
1340993,13225.0,0,19.22,486.25,3,10,0,148000.0,2,26,16.02,1.0,669.0,0.0,15.0,0.0,12644.0,83.2,25.0,0.0,0.0,0.0,0,20.9,0.025246084,0.052476668264312964
1857239,3000.0,0,18.75,109.59,2,10,3,50000.0,11,43,7.29,0.0,709.0,0.0,8.0,1.0,5853.0,21.1,11.0,0.0,0.0,0.0,0,36.1,0.0254125,0.09559332076450876
1809746,2800.0,0,19.52,103.38,3,0,3,45000.0,9,20,20.27,0.0,669.0,0.0,8.0,2.0,45399.0,86.0,17.0,0.0,0.0,0.0,0,20.1,0.026902884,0.097918140137782
1246024,2500.0,0,15.61,87.42,0,6,0,110876.0,2,20,10.95,5.0,664.0,0.0,8.0,1.0,15656.0,50.8,19.0,0.0,0.0,0.0,0,20.1,0.02754888,0.07675930649412899
1201681,6000.0,0,24.08,235.65,11,10,0,75000.0,7,4,19.25,0.0,689.0,1.0,10.0,0.0,28076.0,89.7,16.0,0.0,0.0,0.0,0,17.2,0.025597542999999997,-0.09296663057590816
1901224,1400.0,0,17.77,50.46,0,10,4,80000.0,12,9,19.2,0.0,669.0,1.0,15.0,1.0,12784.0,92.0,26.0,0.0,0.0,0.0,0,12.2,0.025494576,0.09062911464881362
1293168,2400.0,0,17.57,86.25,1,3,0,61279.0,9,4,21.56,0.0,734.0,1.0,13.0,0.0,40041.0,79.8,32.0,0.0,0.0,0.0,0,37.5,0.026801169,0.02696014736830854
1836466,6000.0,0,18.49,218.4,1,10,0,129000.0,9,10,16.38,3.0,664.0,2.0,7.0,0.0,37890.0,76.4,23.0,0.0,0.0,0.0,0,20.5,0.025401264,0.09427800894048333
1760656,1200.0,0,23.7,46.9,10,5,3,98000.0,9,29,13.84,0.0,684.0,1.0,7.0,0.0,16867.0,79.9,7.0,0.0,0.0,0.0,0,6.0,0.027237087000000004,0.12044283205234875
1754728,5000.0,0,22.9,193.29,8,10,3,90000.0,11,29,9.81,0.0,684.0,1.0,7.0,0.0,28878.0,68.8,14.0,0.0,0.0,0.0,0,10.0,0.025824487,0.08557304421731393
1320981,2000.0,0,19.47,73.79,4,2,4,94000.0,9,4,12.17,0.0,669.0,0.0,8.0,0.0,8538.0,90.8,12.0,0.0,0.0,0.0,0,8.6,0.026092112,0.07594904472580022
1765380,1000.0,0,20.2,37.27,4,3,0,50000.0,9,45,3.34,1.0,664.0,0.0,4.0,0.0,6758.0,91.3,27.0,0.0,0.0,0.0,0,34.5,0.027477145,0.0976063654018049
1283785,3000.0,0,18.25,108.84,2,0,3,26000.0,2,4,20.82,0.0,684.0,0.0,8.0,0.0,7081.0,79.6,18.0,0.0,0.0,0.0,0,16.3,0.02584681,-0.5829074576587416
1651351,4000.0,0,15.05,138.77,3,2,0,56500.0,2,5,12.7,0.0,684.0,0.0,6.0,1.0,3864.0,99.1,15.0,0.0,0.0,0.0,0,10.3,0.02574873,0.07689327848931637
1200072,2500.0,0,17.57,89.85,3,10,0,140000.0,12,45,13.64,2.0,694.0,1.0,8.0,0.0,14574.0,68.1,30.0,0.0,0.0,0.0,0,15.5,0.028582752000000003,0.00485692761843981
1921696,8000.0,0,20.5,299.36,6,10,0,125000.0,0,31,2.72,0.0,669.0,1.0,2.0,0.0,7178.0,92.0,21.0,0.0,0.0,0.0,0,13.6,0.02508995,0.1044073263689167
1268423,6000.0,0,16.99,213.89,2,2,0,125000.0,2,6,2.52,0.0,684.0,1.0,9.0,1.0,9051.0,74.8,19.0,0.0,0.0,0.0,0,30.9,0.02777937,0.08075573914116219
1800334,3250.0,0,22.7,125.3,9,1,4,130000.0,13,10,9.58,0.0,719.0,1.0,12.0,0.0,3308.0,25.8,24.0,0.0,0.0,0.0,0,14.8,0.025212883999999998,0.11546277537878025
1301055,5000.0,0,19.47,184.48,4,10,0,130000.0,0,29,10.14,1.0,669.0,1.0,6.0,0.0,13330.0,92.6,19.0,0.0,0.0,0.0,0,18.1,0.028701931,0.05799966885947482
1331836,2800.0,0,16.99,99.82,0,10,4,93600.0,2,45,23.84,0.0,674.0,1.0,12.0,0.0,14098.0,97.2,43.0,0.0,0.0,0.0,0,24.1,0.025448382000000002,0.009252227515746059
1856546,4000.0,0,17.77,144.15,0,10,0,68000.0,2,4,30.83,0.0,689.0,1.0,18.0,0.0,22895.0,74.6,27.0,0.0,0.0,0.0,0,18.0,0.026607335,0.09153488558113798
1303442,5050.0,0,24.5,199.46,12,10,3,65000.0,9,32,9.64,0.0,689.0,1.0,9.0,0.0,10382.0,79.3,13.0,0.0,0.0,0.0,0,23.3,0.02544102,0.12447396649900044
1287103,5200.0,0,19.47,191.85,4,1,0,60000.0,11,33,19.72,0.0,674.0,0.0,10.0,0.0,21516.0,82.4,27.0,0.0,0.0,0.0,0,22.2,0.02597946,0.09922404504540938
1338613,2000.0,0,19.22,73.54,3,1,0,40000.0,4,3,5.19,1.0,674.0,1.0,5.0,0.0,3497.0,72.9,22.0,0.0,0.0,0.0,0,12.6,0.025954336,0.09795546698225176
1842560,2500.0,0,19.05,91.71,3,10,0,60000.0,9,20,11.82,1.0,669.0,0.0,6.0,0.0,139251.0,81.2,27.0,0.0,0.0,0.0,0,39.0,0.02788052,0.09709826450462034
1783579,4800.0,0,19.2,176.44,2,4,0,75000.0,4,41,17.2,0.0,679.0,1.0,7.0,0.0,6651.0,89.9,31.0,0.0,0.0,0.0,0,25.4,0.02755329,0.09785982640270086
1244616,3500.0,0,16.29,123.56,1,7,0,10000.0,4,2,18.97,0.0,664.0,1.0,4.0,0.0,3437.0,68.7,10.0,0.0,0.0,0.0,0,18.3,0.02576384,0.08386725416141916
1916954,5000.0,0,18.75,182.65,2,5,0,72000.0,2,46,29.02,0.0,669.0,1.0,18.0,0.0,23704.0,97.5,39.0,0.0,0.0,0.0,0,17.7,0.025749236,0.09559338993613453
1636780,12000.0,0,15.21,417.22,1,10,0,140000.0,2,4,10.66,0.0,714.0,0.0,9.0,0.0,40419.0,99.3,27.0,0.0,0.0,0.0,0,21.8,0.025157332,0.07771552124337068
1327619,6000.0,0,22.45,230.55,9,9,0,69146.0,2,9,18.83,3.0,684.0,0.0,13.0,0.0,34998.0,71.9,32.0,0.0,0.0,0.0,0,15.1,0.0250642,-0.3251074702421296
1344417,3625.0,0,19.97,134.67,4,10,3,48000.0,2,4,20.85,0.0,664.0,1.0,9.0,0.0,4080.0,80.0,11.0,0.0,0.0,0.0,0,7.8,0.025619686000000003,0.10173628414564327
1781031,6000.0,0,18.55,218.58,1,10,4,90390.0,1,4,6.01,0.0,664.0,1.0,4.0,0.0,15018.0,91.6,20.0,0.0,0.0,0.0,0,26.9,0.02605769,0.09458149868008324
1256494,2000.0,0,15.61,69.93,0,10,0,65000.0,4,15,1.86,0.0,664.0,0.0,5.0,1.0,1960.0,56.0,19.0,0.0,0.0,0.0,0,15.5,0.02616486,0.0797194521928204
1815015,8800.0,0,19.52,324.9,3,2,0,126620.0,9,19,20.22,0.0,714.0,0.0,13.0,0.0,25133.0,84.3,22.0,0.0,0.0,0.0,0,24.7,0.026057302999999997,0.09924566366790576
1637573,3000.0,0,15.95,105.4,3,2,0,140000.0,1,41,8.41,0.0,664.0,0.0,6.0,0.0,9323.0,96.1,10.0,0.0,0.0,0.0,0,20.8,0.029115617000000003,0.07575418609099738
1833674,2100.0,0,19.05,77.04,3,10,0,65000.0,9,4,10.54,0.0,679.0,1.0,14.0,0.0,17269.0,57.0,25.0,0.0,0.0,0.0,0,10.6,0.026271284,0.059755261614077286
1202554,3600.0,0,24.5,142.19,12,10,3,54500.0,2,22,17.46,0.0,674.0,1.0,13.0,0.0,22675.0,79.6,21.0,0.0,0.0,0.0,0,40.8,0.025423527,0.12447313351557045
1226537,3600.0,0,18.99,131.95,5,10,0,80000.0,9,41,13.09,0.0,674.0,1.0,17.0,0.0,13134.0,54.0,49.0,0.0,0.0,0.0,0,27.3,0.027044922000000002,0.005247416457322185
1838347,2000.0,0,18.49,72.8,1,5,0,63000.0,2,18,20.88,2.0,669.0,0.0,6.0,1.0,3156.0,85.3,13.0,0.0,0.0,0.0,0,49.8,0.028460324,-0.00021171148525656047
1799995,3600.0,0,19.52,132.92,3,10,0,80000.0,9,9,9.39,0.0,669.0,1.0,5.0,0.0,17490.0,92.1,16.0,0.0,0.0,0.0,0,19.8,0.029470622999999998,0.0994670631708563
1276085,5600.0,0,15.61,195.81,0,10,0,115347.0,2,4,22.58,0.0,699.0,0.0,9.0,0.0,4710.0,30.4,17.0,0.0,0.0,0.0,0,14.8,0.025173038,0.07905471209859405
1256490,2500.0,0,20.99,94.18,8,10,0,60000.0,9,21,15.02,0.0,664.0,0.0,12.0,0.0,7683.0,76.1,21.0,0.0,0.0,0.0,0,17.2,0.02717483,0.10686874750949138
1820915,5000.0,0,18.25,181.39,1,1,0,120360.0,9,20,23.67,0.0,734.0,0.0,13.0,0.0,9111.0,99.0,35.0,0.0,0.0,0.0,0,15.6,0.027100086000000002,0.09306100279872842
1305851,5000.0,0,16.59,177.25,0,6,0,162000.0,9,43,7.84,0.0,674.0,1.0,7.0,1.0,51566.0,96.4,13.0,0.0,0.0,0.0,0,24.7,0.028150797,0.009109586752561905
1801141,3450.0,0,18.85,126.21,2,4,3,33000.0,2,32,6.83,0.0,674.0,0.0,7.0,0.0,4729.0,80.2,11.0,0.0,0.0,0.0,0,18.0,0.026552975,0.06088536991364112
1761575,3850.0,0,18.25,139.68,2,10,0,102000.0,2,14,17.49,0.0,689.0,1.0,15.0,0.0,8211.0,97.7,28.0,0.0,0.0,0.0,0,12.9,0.028268397,-0.14699337650090016
1849751,4200.0,0,17.77,151.36,0,10,0,65985.0,9,10,17.13,0.0,734.0,1.0,8.0,0.0,17574.0,61.0,42.0,0.0,0.0,0.0,0,9.9,0.026019484,0.07732539796449034
1784119,2350.0,0,18.55,85.61,1,10,0,34948.0,2,31,22.08,0.0,664.0,1.0,7.0,0.0,23694.0,78.7,12.0,0.0,0.0,0.0,0,14.9,0.02601865,0.09489102578763496
1921569,2500.0,0,17.27,89.47,0,8,0,70000.0,9,33,11.34,0.0,669.0,0.0,8.0,0.0,14122.0,92.3,29.0,0.0,0.0,0.0,0,13.1,0.027099282000000002,0.0342807889264527
1804033,6700.0,0,21.15,252.94,6,10,0,129000.0,2,29,0.7,0.0,694.0,0.0,3.0,0.0,2266.0,94.4,3.0,0.0,0.0,0.0,0,8.0,0.025417536,0.10150322851737004
1293929,2000.0,0,24.5,79.0,12,1,0,70000.0,9,26,17.69,0.0,709.0,0.0,8.0,0.0,9929.0,101.3,9.0,0.0,0.0,0.0,0,10.2,0.026349932000000003,0.11083642283805427
1197537,4000.0,0,17.57,143.75,3,10,4,65000.0,9,32,7.75,0.0,674.0,0.0,10.0,2.0,12196.0,65.6,30.0,0.0,0.0,0.0,0,17.3,0.025367856,0.014127803604220725
1330855,1500.0,0,18.25,54.42,2,3,0,55000.0,9,32,15.71,2.0,684.0,0.0,6.0,1.0,3124.0,89.3,12.0,0.0,0.0,0.0,0,12.3,0.026585937,0.08277862467242758
1155179,4075.0,0,15.61,142.49,0,1,4,145000.0,4,14,6.75,0.0,684.0,0.0,8.0,0.0,1463.0,91.4,25.0,0.0,0.0,0.0,0,26.6,0.02660957,0.07164217067739309
1754608,1500.0,0,16.99,53.48,0,10,0,72000.0,7,21,10.17,4.0,694.0,0.0,10.0,0.0,4921.0,39.7,27.0,0.0,0.0,0.0,0,22.1,0.026662647999999997,-0.14634865639598804
1251081,4675.0,0,20.99,176.11,8,10,4,88300.0,4,20,12.44,3.0,669.0,0.0,7.0,0.0,2640.0,80.0,29.0,0.0,0.0,0.0,0,16.6,0.02542448,0.1070209433280973
1195239,2500.0,0,16.99,89.12,2,1,0,62500.0,5,29,20.68,0.0,679.0,0.0,7.0,1.0,4156.0,86.6,20.0,0.0,0.0,0.0,0,19.4,0.027395755,0.009251613296181294
1237442,2400.0,0,17.57,86.25,3,1,4,90000.0,8,45,21.99,0.0,689.0,1.0,11.0,0.0,50798.0,84.5,21.0,0.0,0.0,0.0,0,6.7,0.025063127,0.05195528836301322
1803797,2000.0,0,22.2,76.59,8,10,0,100000.0,9,43,9.62,0.0,679.0,1.0,6.0,0.0,1265.0,74.4,17.0,0.0,0.0,0.0,0,18.8,0.028941035,0.03898384474425587
1284882,6000.0,0,18.92,219.7,3,9,0,85000.0,2,46,17.19,0.0,674.0,1.0,13.0,0.0,26645.0,86.0,24.0,0.0,0.0,0.0,0,14.8,0.026922286,0.0052281741156752215
1204798,1200.0,0,18.24,43.53,4,10,0,175000.0,7,9,26.76,0.0,714.0,1.0,19.0,0.0,72277.0,85.3,40.0,0.0,0.0,0.0,0,35.1,0.02760163,0.07489031992470907
1251731,4000.0,0,23.43,155.74,10,4,0,26000.0,2,21,14.31,0.0,664.0,0.0,5.0,0.0,7837.0,96.8,13.0,0.0,0.0,0.0,0,20.3,0.026252598,0.11911988723611565
1278010,2800.0,0,16.29,98.85,1,10,0,50000.0,9,31,9.6,0.0,669.0,1.0,4.0,1.0,3259.0,62.0,30.0,0.0,0.0,0.0,0,31.4,0.025635391,0.06320964291250841
1131712,4075.0,0,17.14,145.57,3,1,0,28500.0,9,28,19.62,0.0,729.0,0.0,4.0,0.0,1467.0,86.3,10.0,0.0,0.0,0.0,0,19.0,0.025877655,0.08719392578646734
1811119,6000.0,0,19.52,221.52,3,1,4,160000.0,9,36,8.28,0.0,679.0,0.0,11.0,1.0,48000.0,98.0,32.0,0.0,0.0,0.0,0,11.3,0.025267183999999998,0.046739288031101056
1786913,8000.0,0,19.2,294.06,2,10,0,110000.0,2,33,20.37,4.0,674.0,0.0,11.0,0.0,27996.0,85.9,35.0,3.0,0.0,0.0,0,24.2,0.02627322,0.0958958633986
1280555,4000.0,0,18.92,146.47,3,10,0,38000.0,4,6,11.66,3.0,694.0,0.0,6.0,0.0,10250.0,89.1,18.0,0.0,0.0,0.0,0,21.5,0.026984125,0.09644531395247058
1320511,3825.0,0,19.47,141.12,4,5,4,85000.0,7,36,9.61,1.0,664.0,1.0,11.0,1.0,5886.0,84.1,15.0,0.0,0.0,0.0,0,13.0,0.026212156,0.103294780914027
1349812,3000.0,0,16.99,106.95,0,10,0,48000.0,2,41,21.63,0.0,664.0,1.0,8.0,1.0,2390.0,70.3,33.0,0.0,0.0,0.0,0,18.6,0.025886923,-0.050208725449639724
1282938,5000.0,0,19.47,184.48,4,1,4,100000.0,2,32,13.04,1.0,674.0,0.0,12.0,0.0,36967.0,75.4,23.0,0.0,0.0,0.0,0,12.2,0.02511686,0.02983722859732185
1196479,3200.0,0,19.52,118.15,6,10,4,106000.0,8,4,17.88,0.0,674.0,0.0,16.0,0.0,28644.0,86.8,32.0,0.0,0.0,0.0,0,18.2,0.026921004,0.09946825238144276
1284395,2775.0,0,18.25,100.68,2,2,0,40000.0,4,21,25.77,4.0,684.0,0.0,20.0,0.0,18429.0,78.1,53.0,0.0,0.0,0.0,0,20.9,0.02512759,0.0930608438667826
